itemID,itemName,description,price,priceGroup,isExpensive,category,isClothesCat,isSportsCat,isElectronicsCat,isHomeCat,isHobbyCat,isBooksCat,isAccessoryCat,isFunCat,isSmartCat,isToyCat,isKitchenCat,isPersonalCat
3,"Massage","Unna dig själv eller en vän en klassisk massage. En massagebehandling kan vara enbart en stund för avslappning och återhämtning eller innehålla behandlande moment som tryck och stretching. Man väljer själv inriktning i samråd med massören.",445,2,0,Personal,0,0,0,0,1,0,0,1,0,0,0,1
40,"Google Chromecast - Trådlös mediaströmning för TV:n","Chromecast är en mediaströmningsenhet som ansluts till TV:n via HDMI-porten. Använd din mobila enhet och en TV som du redan äger och casta TV-program, filmer, sport, spel och mycket annat. Chromecast fungerar med iPhone, iPad, Android-mobiler eller -surfplattor, Mac- och Windows-datorer och Chromebook. Med Chromecast blir mobilen en fjärrkontroll.",390,2,0,Home,0,0,1,1,0,0,0,0,1,0,0,0
41,"Linocell 3X Dual Powerbank","Kraftfullt extrabatteri som laddar både mobil och surfplatta. Kapacitet på 7800 mAh som räcker för att ladda upp en mobil ca 3 gånger. Utrustat med två USB-portar (totalt 2,1 A) och laddningsindikator. Automatisk avstängning när mobilen är fulladdad. Laddningstid: ca 10 h.",199,1,0,Electronics,0,0,1,0,0,0,1,0,0,0,0,0
42,"Linocell Pro VR-glasögon för mobilen","Bekväma VR-glasögon med huvudband och mjukt huvudstöd utformat för att sluta in ögonen. Vred för att ställa in fokus och för att ställa in linserna ger en uppslukande upplevelse. Har öppning för mobilens kamera. Ladda ner spel- och underhållningsappar eller se t.ex. Youtube-klipp på nya sätt. Mobilen hålls på plats i ett fack i glasögonen och fungerar som en bildskärm. Användaren styr därefter upplevelsen genom att vrida på huvudet.",199,1,0,Toys,0,0,1,0,1,0,1,0,1,1,0,0
43,"Flic Bluetooth-knapp för mobil Svart","Bluetooth-fjärrkontroll för mobil. Kan programmeras för att låta mobilen t.ex. fota en bild, kontrollera musik eller starta en timer. Knappen har stöd för tre kortkommandon (tryck, långt tryck och dubbelklick). Inställningar görs enkelt via appen Flic (finns till både Android och iOS). Kan även styra olika tjänster via IFTTT.",349,2,0,Electronics,0,0,1,0,1,0,0,0,1,0,0,0
44,"Plexgear Pixaver Lux Negativ- och Diaskanner","Fotofilmskanner med inbyggd 2,4-tumsskärm för digitalisering av diabilder och negativ. Bilderna sparas på SD-kort (max 32 GB, medföljer ej) via en knapptryckning. Kopplas till en dator via USB för överföring. Kan kopplas direkt till en TV för att se sparade bilder.",899,3,0,Electronics,0,0,1,0,1,0,0,0,0,0,0,0
45,"Roxcore Stream 4 Högtalare med wifi","Kraftfull och smart högtalare med Multiroom-stöd. Ansluts till hemmets wifi och gör det enkelt att spela upp musik i flera rum samtidigt. Via den medföljande appen är det enkelt att spela upp musik, antingen direkt från mobilen eller från musikappar som t.ex. Spotify (Premium). Möjligt att spela samma låt i alla högtalare, eller olika i olika högtalare. Högtalaren har även Bluetooth och en 3,5 mm-ingång. Högtalaren har knappar för styrning av musiken samt ett uppladdningsbart batteri, vilket gör den enkel att ta med på utflykten.",799,3,0,Home,0,0,1,1,0,0,1,0,0,0,0,0
46,"Roxcore Öronmuffar med inbyggt headset","Öronmuffar med inbyggt headset. Hörlurarna ligger i insydda fickor och kopplas till den medföljande 3,5 mm-kabeln med mikrofon, svarsknapp och analogt volymreglage. Lurar och kabel kan tas ur när öronmuffarna behöver tvättas. Passar mobiler och andra enheter med vanlig hörlurskontakt (3,5 mm).",199,1,0,Clothing,1,0,1,0,0,0,1,0,1,0,0,0
47,"Linocell Vante med Bluetooth-headset","Stickad vante med inbyggt Bluetooth-headset. Forma handen som en lur, med lillfingret som mikrofon och tummen som en högtalare. Insydd knapp i vanten gör det möjligt att besvara samt avsluta samtal utan att behöva ta upp mobilen. Vanten går även att använda på mobilens skärm.",299,2,0,Clothing,1,0,1,0,0,0,1,0,1,0,0,0
48,"Denver DCH-330 Drönare med HD-kamera","Drönare med inbyggd HD-kamera och LED-belysning. Har två hastigheter och tack vare gyro-funktionen blir drönaren stabil och lättflugen. Filmar i HD (720p, 30 FPS). Filmerna sparas på ett Micro-SD-kort (max. 32 GB, medföljer ej). Upp till 30 meters räckvidd.",699,3,0,Toys,0,0,1,0,1,0,0,1,1,1,0,0
