itemURL,itemPicture,itemID,itemName,description,price,priceGroup,isExpensive,category,isClothesCat,isSportsCat,isElectronicsCat,isHomeCat,isHobbyCat,isBooksCat,isAccessoryCat,isFunCat,isSmartCat,isToyCat,isKitchenCat,isPersonalCat
http://www.coolstuff.se/Super-Retro-Trio-Multikonsol,b4fb5fd0e1ae4110c8b0dfde101a5112.jpg,1,Super Retro Trio Multikonsol,"Saknar du tiden när tv-spelen var enklare, svårare och roligare? Nu kan du spela alla spel till Nintendo 8-bitar, Super Nintendo och Sega Mega Drive - på en och samma konsol.",995,3,0,Electronics,0,0,1,0,1,0,0,1,0,1,0,0
http://www.coolstuff.se/KitchPro-Hamburgerpress,53bd228ba66b63c012d05a68042a76d7.jpg,2,KitchPro Hamburgerpress,Gör som jänkarna och kötta till det med stuffed burgers. Denna hamburgerpress hjälper dig att enkelt skapa supergoda hamburgare med olika fyllningar!,99,1,0,Cooking,0,0,0,0,0,0,0,0,1,0,1,0
http://www.coolstuff.se/KitchPro-Sous-Vide-Slow-Cooker,03c033ae2dacefde3667feef77562082.jpg,3,KitchPro Sous Vide Slow Cooker,"Sous vide har länge varit proffskockarnas väg till perfekt mat, men nu behöver du inte ha ett restaurangkök för att få ett lika bra resultat hemma!",999,3,0,Cooking,0,0,1,0,0,0,0,0,0,0,1,0
http://www.coolstuff.se/Towel-Twister,08897f1b38a79de7b99176ef6529db46.jpg,4,Towel Twister,Samla ditt blöta hår i en superabsorberande mikrofiberhandduk och lägg det nonchalant på huvudet! Helt plötsligt kommer vanliga handdukar kännas gammaldags och obekväma.,129,1,0,Personal,1,0,0,0,0,0,0,0,1,0,0,1
http://www.coolstuff.se/Mini-Donut-Maker,c4b826df2f8cf613ecda63a92273e9c8.jpg,5,KitchPro Mini Donut Maker,"Som ett våffeljärn fast för mini donuts! Värm upp maskinen, häll i smet, vänta några minuter och plocka sen ut perfekta minimunkar!",249,2,0,Cooking,0,0,1,0,0,0,0,0,0,1,1,0
http://www.coolstuff.se/Razorpit-Rakbladsrengorare,c96b6a3d745dc1fb0dd6f52b898d886b.jpg,6,Razorpit Rakbladsrengörare,Dina rakblad är inte slöa – de är smutsiga! Med hjälp av Razorpit får du bort smutset så att rakbladen blir vassare och håller mycket längre. Vad sägs om att raka dig upp till 150 gånger med samma blad? ,199,1,0,Personal,0,0,0,0,0,0,0,0,0,0,0,1
http://www.coolstuff.se/Hugogate_Elektronisk_Slipshangare,75918f9cb75405dc956fa8fb627d34a8.jpg,7,Hugogate Elektronisk Slipshängare ,Supersmooth elektronisk slipshängare som rymmer 30 slipsar. Med en enkel knapptryckning roterar du dina slipsar och inbyggd belysning gör att du alltid hittar rätt slips!,299,2,0,Personal,1,0,1,1,0,0,1,0,1,0,0,1
http://www.coolstuff.se/Helautomatisk-Vinpump,ff32349daf21d192c21996ff5ae07c1a.jpg,8,KitchPro Helautomatisk Vinpump ,Sätt på vinpumpen på flaskan och den suger automatiskt ut rätt mängd luft. Pumpen aktiveras igen om det kommer in ny luft.,295,2,0,Electronics,0,0,1,1,0,0,0,0,1,0,1,0
http://www.coolstuff.se/Skarsaker-Kokshandske,5e26fa99fe67ed5b17d0ef1ec0b735bb.jpg,9,Skärsäker Kökshandske ,Med den skärsäkra handsken slipper du att putsa till fingrarna när du arbetar i köket eller scrapbookar.,139,1,0,Cooking,1,0,0,1,0,0,1,0,1,0,1,0
http://www.coolstuff.se/Riskokare-for-micron,08acb7233ea6e0032cd8f519a987e961.jpg,10,Riskokare för micron ,"Häll i ris och vatten, in i micron—ta några minuter och klura på hur många riskorn det egentligen finns i världen, ta sen ut riset och ta åt dig äran för perfekt kokt ris- varje gång.",299,2,0,Cooking,0,0,0,1,0,0,0,0,1,0,1,0
